; -----------
; File select
; -----------

[$0C:$CEDF] $7E:F000[2] = $0000 | Room $0000
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $7A   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $7B   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $7C   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $7D   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $7E   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $7F   | Magic Power
[$0D:$F1C3] $7E:F373[1] = $80   | Magic filler
[$0D:$DBB7] $7E:F373[1] = $7F   | Magic filler
[$0D:$DBC0] $7E:F36E[1] = $80   | Magic Power
[$0D:$DBAC] $7E:F373[1] = $00   | Magic filler
[$02:$82F0] $7E:F36F[1] = $FF   | Keys
[$02:$B82E] $7E:F1CE[2] = $000F | Room $00E7
[$02:$B82E] $7E:F1CC[2] = $000F | Room $00E6
[$06:$D1DA] $7E:F360[2] = $0021 | Rupees (goal)
[$0D:$DBFB] $7E:F362[2] = $001D | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $001E | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $001F | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0020 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0021 | Rupees (actual)
[$06:$D1DA] $7E:F360[2] = $0026 | Rupees (goal)
[$0D:$DBFB] $7E:F362[2] = $0022 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0023 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0024 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0025 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0026 | Rupees (actual)
[$07:$A077] $7E:F377[1] = $0A   | Arrows
[$05:$89AF] $7E:F300[1] = $40   | Overworld $80
[$09:$863C] $7E:F359[1] = $02   | Sword
[$05:$89BF] $7E:F3C7[1] = $05   | Map Phase
[$08:$C403] $7E:F3CC[1] = $0E   | Tagalong
[$09:$A66F] $7E:F3CC[1] = $00   | Tagalong
[$06:$D1DA] $7E:F360[2] = $003A | Rupees (goal)
[$0D:$DBFB] $7E:F362[2] = $0027 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0028 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0029 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $002A | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $002B | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $002C | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $002D | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $002E | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $002F | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0030 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0031 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0032 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0033 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0034 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0035 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0036 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0037 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0038 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0039 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $003A | Rupees (actual)
[$06:$D1DA] $7E:F360[2] = $004E | Rupees (goal)
[$0D:$DBFB] $7E:F362[2] = $003B | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $003C | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $003D | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $003E | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $003F | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0040 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0041 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0042 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0043 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0044 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0045 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0046 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0047 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0048 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0049 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $004A | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $004B | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $004C | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $004D | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $004E | Rupees (actual)
[$06:$D1DA] $7E:F360[2] = $0062 | Rupees (goal)
[$0D:$DBFB] $7E:F362[2] = $004F | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0050 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0051 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0052 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0053 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0054 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0055 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0056 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0057 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0058 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0059 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $005A | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $005B | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $005C | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $005D | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $005E | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $005F | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0060 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0061 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0062 | Rupees (actual)
[$06:$D1DA] $7E:F360[2] = $0076 | Rupees (goal)
[$0D:$DBFB] $7E:F362[2] = $0063 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0064 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0065 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0066 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0067 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0068 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0069 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $006A | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $006B | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $006C | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $006D | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $006E | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $006F | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0070 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0071 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0072 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0073 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0074 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0075 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0076 | Rupees (actual)
[$0D:$FA8C] $7E:F36F[1] = $00   | Keys
[$02:$82F0] $7E:F36F[1] = $FF   | Keys
[$06:$EFB8] $7E:F29B[1] = $60   | Overworld $1B
[$0D:$FA8C] $7E:F36F[1] = $00   | Keys
[$02:$B82E] $7E:F1C0[2] = $0002 | Room $00E0
[$02:$B82E] $7E:F1C0[2] = $000A | Room $00E0
[$07:$A077] $7E:F377[1] = $09   | Arrows
[$07:$A077] $7E:F377[1] = $08   | Arrows
[$02:$B82E] $7E:F1C0[2] = $000E | Room $00E0
[$02:$B89D] $7E:F1C0[2] = $001E | Room $00E0
[$09:$8741] $7E:F36F[1] = $01   | Keys
[$01:$CF6B] $7E:F36F[2] = $0000 | Keys
[$02:$B89D] $7E:F1C0[2] = $201E | Room $00E0
[$02:$B82E] $7E:F1A0[2] = $0004 | Room $00D0
[$02:$B82E] $7E:F1A0[2] = $000E | Room $00D0
[$02:$B89D] $7E:F1A0[2] = $001E | Room $00D0
[$09:$8741] $7E:F36F[1] = $01   | Keys
[$01:$CF6B] $7E:F36F[2] = $0000 | Keys
[$02:$B89D] $7E:F1A0[2] = $801E | Room $00D0
[$02:$B82E] $7E:F1A0[2] = $801F | Room $00D0
[$02:$B82E] $7E:F180[2] = $0001 | Room $00C0
[$02:$B82E] $7E:F180[2] = $000B | Room $00C0
[$02:$B82E] $7E:F180[2] = $000F | Room $00C0
[$06:$D196] $7E:F36F[1] = $01   | Keys
[$01:$CF6B] $7E:F36F[2] = $0000 | Keys
[$02:$B89D] $7E:F180[2] = $240F | Room $00C0
[$02:$B82E] $7E:F160[2] = $0004 | Room $00B0
[$07:$A077] $7E:F377[1] = $07   | Arrows
[$07:$A077] $7E:F377[1] = $06   | Arrows
[$07:$A077] $7E:F377[1] = $05   | Arrows
[$07:$A077] $7E:F377[1] = $04   | Arrows
[$02:$B82E] $7E:F160[2] = $000C | Room $00B0
[$07:$A077] $7E:F377[1] = $03   | Arrows
[$02:$B82E] $7E:F160[2] = $000E | Room $00B0
[$06:$D1DA] $7E:F360[2] = $0077 | Rupees (goal)
[$0D:$DBFB] $7E:F362[2] = $0077 | Rupees (actual)
[$07:$A077] $7E:F377[1] = $02   | Arrows
[$06:$D214] $7E:F376[1] = $05   | Arrow filler
[$06:$D196] $7E:F36F[1] = $01   | Keys
[$0D:$DC49] $7E:F376[1] = $04   | Arrow filler
[$0D:$DC5C] $7E:F377[1] = $03   | Arrows
[$0D:$DC49] $7E:F376[1] = $03   | Arrow filler
[$0D:$DC5C] $7E:F377[1] = $04   | Arrows
[$0D:$DC49] $7E:F376[1] = $02   | Arrow filler
[$0D:$DC5C] $7E:F377[1] = $05   | Arrows
[$0D:$DC49] $7E:F376[1] = $01   | Arrow filler
[$0D:$DC5C] $7E:F377[1] = $06   | Arrows
[$0D:$DC49] $7E:F376[1] = $00   | Arrow filler
[$0D:$DC5C] $7E:F377[1] = $07   | Arrows
[$01:$CF6B] $7E:F36F[2] = $0000 | Keys
[$02:$B89D] $7E:F160[2] = $240E | Room $00B0
[$02:$B82E] $7E:F160[2] = $240F | Room $00B0
[$02:$B82E] $7E:F080[2] = $0001 | Room $0040
[$02:$B82E] $7E:F080[2] = $000B | Room $0040
[$02:$B82E] $7E:F060[2] = $0002 | Room $0030
[$02:$B82E] $7E:F060[2] = $000A | Room $0030
[$02:$B89D] $7E:F060[2] = $840A | Room $0030
[$02:$B82E] $7E:F040[2] = $0002 | Room $0020
[$00:$F9EB] $7E:F3EB[2] = $0000 | Deaths Total
[$02:$B89D] $7E:F040[2] = $0802 | Room $0020
[$00:$F974] $7E:F3C5[1] = $03   | Game Phase 1
[$00:$F97E] $7E:F282[1] = $20   | Overworld $02
[$00:$F988] $7E:F3CA[1] = $40   | LW/DW
[$0D:$FA8C] $7E:F36F[1] = $FF   | Keys
[$02:$9D55] $7E:F3C7[1] = $06   | Map Phase
[$1E:$E4B5] $7E:F3CC[1] = $0A   | Tagalong
[$1E:$F3A6] $7E:F360[2] = $006D | Rupees (goal)
[$0D:$DBFB] $7E:F362[2] = $0076 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0075 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0074 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0073 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0072 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0071 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0070 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $006F | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $006E | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $006D | Rupees (actual)
[$1E:$E673] $7E:F3CC[1] = $00   | Tagalong
[$1E:$F3A6] $7E:F360[2] = $0009 | Rupees (goal)
[$0D:$DBFB] $7E:F362[2] = $006C | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $006B | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $006A | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0069 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0068 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0067 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0066 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0065 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0064 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0063 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0062 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0061 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0060 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $005F | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $005E | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $005D | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $005C | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $005B | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $005A | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0059 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0058 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0057 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0056 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0055 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0054 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0053 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0052 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0051 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0050 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $004F | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $004E | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $004D | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $004C | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $004B | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $004A | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0049 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0048 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0047 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0046 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0045 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0044 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0043 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0042 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0041 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0040 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $003F | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $003E | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $003D | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $003C | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $003B | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $003A | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0039 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0038 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0037 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0036 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0035 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0034 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0033 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0032 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0031 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0030 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $002F | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $002E | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $002D | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $002C | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $002B | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $002A | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0029 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0028 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0027 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0026 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0025 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0024 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0023 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0022 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0021 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0020 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $001F | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $001E | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $001D | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $001C | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $001B | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $001A | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0019 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0018 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0017 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0016 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0015 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0014 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0013 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0012 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0011 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0010 | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $000F | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $000E | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $000D | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $000C | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $000B | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $000A | Rupees (actual)
[$0D:$DBFB] $7E:F362[2] = $0009 | Rupees (actual)
[$1B:$CAFA] $7E:F2DE[1] = $20   | Overworld $5E
[$0D:$FA8C] $7E:F36F[1] = $00   | Keys
[$02:$B82E] $7E:F094[2] = $0003 | Room $004A
[$02:$B82E] $7E:F094[2] = $000F | Room $004A
[$06:$D1EF] $7E:F375[1] = $01   | Bomb filler
[$0D:$DC27] $7E:F375[1] = $00   | Bomb filler
[$0D:$DC3A] $7E:F343[1] = $02   | Bombs
[$02:$B82E] $7E:F012[2] = $0008 | Room $0009
[$02:$B89D] $7E:F012[2] = $0018 | Room $0009
[$09:$8741] $7E:F36F[1] = $01   | Keys
[$02:$A0D5] $7E:F382[1] = $01   | Key for dungeon $06
[$06:$D1EF] $7E:F375[1] = $01   | Bomb filler
[$0D:$DC27] $7E:F375[1] = $00   | Bomb filler
[$0D:$DC3A] $7E:F343[1] = $03   | Bombs
[$01:$CF6B] $7E:F36F[2] = $0000 | Keys
[$02:$B89D] $7E:F094[2] = $200F | Room $004A
[$02:$B82E] $7E:F074[2] = $000F | Room $003A
[$02:$B89D] $7E:F074[2] = $800F | Room $003A
[$02:$B82E] $7E:F014[2] = $000F | Room $000A
[$02:$B89D] $7E:F014[2] = $001F | Room $000A
[$09:$8741] $7E:F36F[1] = $01   | Keys
[$06:$D1EF] $7E:F375[1] = $01   | Bomb filler
[$0D:$DC27] $7E:F375[1] = $00   | Bomb filler
[$0D:$DC3A] $7E:F343[1] = $04   | Bombs
[$09:$8137] $7E:F343[1] = $03   | Bombs
[$01:$CF6B] $7E:F36F[2] = $0000 | Keys
[$02:$B89D] $7E:F014[2] = $801F | Room $000A
[$02:$B89D] $7E:F074[2] = $801F | Room $003A
[$09:$86B1] $7E:F366[2] = $7220 | BigKey1
[$02:$A0D5] $7E:F382[1] = $00   | Key for dungeon $06
[$06:$D1EF] $7E:F375[1] = $01   | Bomb filler
[$0D:$DC27] $7E:F375[1] = $00   | Bomb filler
[$0D:$DC3A] $7E:F343[1] = $04   | Bombs
[$02:$B82E] $7E:F054[2] = $000F | Room $002A
[$02:$B89D] $7E:F054[2] = $002F | Room $002A
[$09:$8741] $7E:F36F[1] = $01   | Keys
[$01:$CF6B] $7E:F36F[2] = $0000 | Keys
[$02:$B89D] $7E:F054[2] = $402F | Room $002A
[$02:$B82E] $7E:F034[2] = $000A | Room $001A
[$06:$D1EF] $7E:F375[1] = $01   | Bomb filler
[$0D:$DC27] $7E:F375[1] = $00   | Bomb filler
[$0D:$DC3A] $7E:F343[1] = $05   | Bombs
[$09:$8137] $7E:F343[1] = $04   | Bombs
[$09:$8137] $7E:F343[1] = $03   | Bombs
[$06:$D1C2] $7E:F372[1] = $08   | Hearts filler
[$0D:$DCCB] $7E:F372[1] = $00   | Hearts filler
[$07:$80FB] $7E:F36D[1] = $28   | Health (actual)
[$02:$B89D] $7E:F034[2] = $301A | Room $001A
[$09:$863C] $7E:F34B[1] = $01   | Hammer
[$02:$B82E] $7E:F032[2] = $000F | Room $0019
[$02:$B89D] $7E:F032[2] = $802F | Room $0019
[$09:$8741] $7E:F36F[1] = $01   | Keys
[$02:$A0D5] $7E:F382[1] = $01   | Key for dungeon $06
[$06:$D1EF] $7E:F375[1] = $01   | Bomb filler
[$0D:$DC27] $7E:F375[1] = $00   | Bomb filler
[$0D:$DC3A] $7E:F343[1] = $04   | Bombs
[$07:$A077] $7E:F377[1] = $06   | Arrows
[$02:$B82E] $7E:F056[2] = $000A | Room $002B
[$06:$D1C2] $7E:F372[1] = $08   | Hearts filler
[$0D:$DCD8] $7E:F36D[1] = $30   | Health (actual)
[$0D:$DCFF] $7E:F372[1] = $00   | Hearts filler
[$06:$D1EF] $7E:F375[1] = $01   | Bomb filler
[$0D:$DC27] $7E:F375[1] = $00   | Bomb filler
[$0D:$DC3A] $7E:F343[1] = $05   | Bombs
[$06:$D1EF] $7E:F375[1] = $01   | Bomb filler
[$0D:$DC27] $7E:F375[1] = $00   | Bomb filler
[$0D:$DC3A] $7E:F343[1] = $06   | Bombs
[$02:$B82E] $7E:F036[2] = $0002 | Room $001B
[$07:$A077] $7E:F377[1] = $05   | Arrows
[$07:$A077] $7E:F377[1] = $04   | Arrows
[$07:$A077] $7E:F377[1] = $03   | Arrows
[$07:$A077] $7E:F377[1] = $02   | Arrows
[$06:$D214] $7E:F376[1] = $05   | Arrow filler
[$0D:$DC49] $7E:F376[1] = $04   | Arrow filler
[$0D:$DC5C] $7E:F377[1] = $03   | Arrows
[$0D:$DC49] $7E:F376[1] = $03   | Arrow filler
[$0D:$DC5C] $7E:F377[1] = $04   | Arrows
[$0D:$DC49] $7E:F376[1] = $02   | Arrow filler
[$0D:$DC5C] $7E:F377[1] = $05   | Arrows
[$0D:$DC49] $7E:F376[1] = $01   | Arrow filler
[$0D:$DC5C] $7E:F377[1] = $06   | Arrows
[$0D:$DC49] $7E:F376[1] = $00   | Arrow filler
[$0D:$DC5C] $7E:F377[1] = $07   | Arrows
[$02:$B82E] $7E:F036[2] = $000E | Room $001B
[$07:$A077] $7E:F377[1] = $06   | Arrows
[$02:$B89D] $7E:F036[2] = $008E | Room $001B
[$02:$B82E] $7E:F016[2] = $0004 | Room $000B
[$01:$CF6B] $7E:F36F[2] = $0000 | Keys
[$02:$B89D] $7E:F016[2] = $2004 | Room $000B
[$02:$B82E] $7E:F016[2] = $200C | Room $000B
[$02:$B82E] $7E:F016[2] = $200E | Room $000B
[$02:$B82E] $7E:F016[2] = $200F | Room $000B
[$02:$B82E] $7E:F0D4[2] = $0005 | Room $006A
[$02:$B89D] $7E:F0D4[2] = $8005 | Room $006A
[$02:$B82E] $7E:F0B4[2] = $0001 | Room $005A
[$08:$C49C] $7E:F36C[1] = $38   | Health (goal)
[$08:$C4A7] $7E:F372[1] = $08   | Hearts filler
[$0D:$DCD8] $7E:F36D[1] = $38   | Health (actual)
[$0D:$DCFF] $7E:F372[1] = $00   | Hearts filler
[$08:$CC70] $7E:F37A[1] = $02   | Crystals
[$1E:$CD9B] $7E:F3CC[1] = $06   | Tagalong
[$1E:$CDA7] $7E:F3CC[1] = $00   | Tagalong
[$1E:$CEE1] $7E:F3C7[1] = $07   | Map Phase
[$00:$F9EB] $7E:F3EF[2] = $0000 | Deaths Total
[$02:$A0D5] $7E:F382[1] = $00   | Key for dungeon $06
[$02:$B89D] $7E:F0B4[2] = $0801 | Room $005A
[$02:$82F0] $7E:F36F[1] = $FF   | Keys
[$09:$863C] $7E:F34C[1] = $01   | Flute
[$02:$B166] $7E:F3CA[1] = $00   | LW/DW
[$09:$863C] $7E:F34C[1] = $02   | Flute
[$1B:$C25F] $7E:F298[1] = $20   | Overworld $18
[$08:$D39B] $7E:F34C[1] = $03   | Flute
[$02:$B166] $7E:F3CA[1] = $40   | LW/DW
[$06:$D1DA] $7E:F360[2] = $000A | Rupees (goal)
[$0D:$DBFB] $7E:F362[2] = $000A | Rupees (actual)
[$1B:$C29D] $7E:F2D8[1] = $20   | Overworld $58
[$0D:$FA8C] $7E:F36F[1] = $00   | Keys
[$02:$B82E] $7E:F1B6[2] = $000F | Room $00DB
[$02:$B82E] $7E:F196[2] = $000F | Room $00CB
[$02:$B82E] $7E:F198[2] = $000F | Room $00CC
[$02:$B82E] $7E:F1B8[2] = $000F | Room $00DC
[$02:$B89D] $7E:F1B6[2] = $002F | Room $00DB
[$09:$86B1] $7E:F366[2] = $7230 | BigKey1
[$02:$B89D] $7E:F198[2] = $800F | Room $00CC
[$02:$B82E] $7E:F178[2] = $0005 | Room $00BC
